sample	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
c_ll_no_0080	1.06043956043956	76.021978021978	26.7857142857143	7114.41208791209	153.796703296703	-125.230769230769	279.027472527473	62.6153846153846	-40.0714285714286	94.5879120879121	-88.1538461538462	943.774725274725	111.291208791209	43.7527472527473	28.5054945054945	315.862637362637	151.098901098901	281.302197802198	211.472527472527
c_ll_no_0081	10.8369565217391	74.8260869565217	26.179347826087	7209.3097826087	163.804347826087	-116.554347826087	280.358695652174	77.1413043478261	-37.8097826086956	105.402173913043	-79.7880434782609	894.538043478261	106.298913043478	42.2880434782609	28.1739130434783	299.614130434783	143.945652173913	273.119565217391	189.065217391304
c_ll_no_0082	14.9777777777778	73.8833333333333	25.95	7200.21111111111	167.072222222222	-111.955555555556	279.027777777778	81.2055555555555	-35.0166666666667	109.377777777778	-75.5055555555556	885.011111111111	105.372222222222	42.1	28.0333333333333	296.744444444444	142.788888888889	270.133333333333	184.911111111111
c_ll_ki_0090	15.314606741573	79.6011235955056	18.6685393258427	11253.3988764045	227.926966292135	-188.589887640449	416.516853932584	157.179775280899	-65.3483146067416	158.38202247191	-133.179775280899	624.674157303371	83.7584269662921	26.1179775280899	33.0280898876404	219.207865168539	90.4775280898876	219.140449438202	108.11797752809
c_ll_ki_0091	15.314606741573	79.6011235955056	18.6685393258427	11253.3988764045	227.926966292135	-188.589887640449	416.516853932584	157.179775280899	-65.3483146067416	158.38202247191	-133.179775280899	624.674157303371	83.7584269662921	26.1179775280899	33.0280898876404	219.207865168539	90.4775280898876	219.140449438202	108.11797752809
c_ll_ki_0092	15.314606741573	79.6011235955056	18.6685393258427	11253.3988764045	227.926966292135	-188.589887640449	416.516853932584	157.179775280899	-65.3483146067416	158.38202247191	-133.179775280899	624.674157303371	83.7584269662921	26.1179775280899	33.0280898876404	219.207865168539	90.4775280898876	219.140449438202	108.11797752809
c_ll_ki_0093	15.314606741573	79.6011235955056	18.6685393258427	11253.3988764045	227.926966292135	-188.589887640449	416.516853932584	157.179775280899	-65.3483146067416	158.38202247191	-133.179775280899	624.674157303371	83.7584269662921	26.1179775280899	33.0280898876404	219.207865168539	90.4775280898876	219.140449438202	108.11797752809
c_ll_ki_0094	15.314606741573	79.6011235955056	18.6685393258427	11253.3988764045	227.926966292135	-188.589887640449	416.516853932584	157.179775280899	-65.3483146067416	158.38202247191	-133.179775280899	624.674157303371	83.7584269662921	26.1179775280899	33.0280898876404	219.207865168539	90.4775280898876	219.140449438202	108.11797752809
c_ll_ki_0095	11.1546961325967	85.3425414364641	19.9116022099447	11044.4254143646	225.508287292818	-192.867403314917	418.375690607735	152.165745856354	-76.9558011049724	152.165745856354	-134.966850828729	602.17679558011	78.3093922651934	26.5966850828729	31.1381215469613	209.265193370166	89.524861878453	209.265193370166	109.116022099448
c_ll_ki_0096	11.1546961325967	85.3425414364641	19.9116022099447	11044.4254143646	225.508287292818	-192.867403314917	418.375690607735	152.165745856354	-76.9558011049724	152.165745856354	-134.966850828729	602.17679558011	78.3093922651934	26.5966850828729	31.1381215469613	209.265193370166	89.524861878453	209.265193370166	109.116022099448
c_ll_ki_0097	11.1546961325967	85.3425414364641	19.9116022099447	11044.4254143646	225.508287292818	-192.867403314917	418.375690607735	152.165745856354	-76.9558011049724	152.165745856354	-134.966850828729	602.17679558011	78.3093922651934	26.5966850828729	31.1381215469613	209.265193370166	89.524861878453	209.265193370166	109.116022099448
c_ll_ki_0098	11.1546961325967	85.3425414364641	19.9116022099447	11044.4254143646	225.508287292818	-192.867403314917	418.375690607735	152.165745856354	-76.9558011049724	152.165745856354	-134.966850828729	602.17679558011	78.3093922651934	26.5966850828729	31.1381215469613	209.265193370166	89.524861878453	209.265193370166	109.116022099448
c_ll_ki_0099	11.1546961325967	85.3425414364641	19.9116022099447	11044.4254143646	225.508287292818	-192.867403314917	418.375690607735	152.165745856354	-76.9558011049724	152.165745856354	-134.966850828729	602.17679558011	78.3093922651934	26.5966850828729	31.1381215469613	209.265193370166	89.524861878453	209.265193370166	109.116022099448
c_ll_ki_0100	10.1086956521739	89.5978260869565	20.8641304347826	10801.2717391304	224.798913043478	-192.478260869565	417.277173913043	148.103260869565	-110.614130434783	148.103260869565	-133.032608695652	580.33152173913	75.4945652173913	24.7989130434783	32.2989130434783	207.641304347826	84.5597826086957	207.641304347826	102.027173913043
